priority,channel,target,target_url,contact_method,link_target,pitch_angle,status,next_step,notes
1,Journalist query services,Travel and real-estate reporters,Connectively/Qwoted/HARO workflow,Platform response,/guides/2026-bradenton-vacation-rental-market-analysis/,Use Bradenton market and price-gap commentary,Ready,Use quote bank in journalist-quote-bank-2026-03.md,Highest-authority free path
1,Resource link reversal,The Ringling,https://www.ringling.org/contact-us/,Email: generalinfo@ringling.org,/guides/bradenton-vs-sarasota/,Ask for visitor-resource inclusion on Sarasota cultural planning pages,Sent,Follow up 2026-03-22 if no reply,Sent on 2026-03-15 at 9:14 PM ET to generalinfo@ringling.org
1,Resource link reversal,Mote Marine Laboratory & Aquarium,https://mote.org/about/contact/,Email: guestservices@mote.org,/guides/anna-maria-island-vs-siesta-key/,Ask for local planning/resource inclusion for Sarasota-area visitors,Sent,Follow up 2026-03-22 if no reply,Sent on 2026-03-15 at 9:15 PM ET to guestservices@mote.org
1,Resource link reversal,The Bishop Museum of Science and Nature,https://bishopscience.org/contact/,Email: CommunityEngagement@BishopScience.org or Info@BishopScience.org,/guides/things-to-do-bradenton-fl/,Ask for local planning/resource inclusion for family visitors to Bradenton,Sent,Follow up 2026-03-22 if no reply,Sent on 2026-03-15 at 9:14 PM ET to CommunityEngagement@BishopScience.org
1,Resource link reversal,Myakka River State Park,https://www.floridastateparks.org/parks-and-trails/myakka-river-state-park,Phone or park contact path,/guides/bradenton-vs-sarasota/,Lower-priority resource ask tied to Sarasota nature planning,Researching,Decide if this is worth outreach,No strong email path found yet
2,Creator outreach,Always On The Shore,https://alwaysontheshore.com/about-me/contact/,Email: info@alwaysontheshore.com,/guides/anna-maria-island-vs-siesta-key/,Pitch local comparison guide as a planning resource or guest-post angle,Sent,Follow up 2026-03-25 if no reply,Sent twice on 2026-03-15 at 9:15 PM ET and 10:00 PM ET; do not send another touch before 2026-03-25
2,Creator outreach,Travels With The Crew,https://travelswiththecrew.com/contact-me/,Email: alicia@travelswiththecrew.com,/guides/bradenton-vs-sarasota/,Pitch local comparison resource or AP-ready Florida family angle,Ready,Send draft #5 from free-outreach-drafts-2026-03.md,Work-with-me page accepts pitches and press materials
2,Creator outreach,Next Stop Adventures,https://nextstopadventures.com/contact,Contact form or webmaster@nextstopadventures.com,/guides/bradenton-vs-sarasota/,Pitch authentic Gulf Coast comparison resource or collaboration angle,Ready,Send draft #6 from free-outreach-drafts-2026-03.md,Contact page and partnership page are live
2,Guest post,Always On The Shore guest post lane,https://alwaysontheshore.com/guest-post/,Email: info@alwaysontheshore.com,/guides/bradenton-vs-sarasota/,Offer a 1500-2000 word Bradenton vs Sarasota planning piece,Ready,Use guest-post angle in draft #4,Guidelines require original content and travel-site ownership
2,Guest post,Florida travel and relocation blogs,Research list needed,Email,/guides/bradenton-vs-sarasota/,Offer data-backed Gulf Coast comparison article,Researching,Build 5-site shortlist,Only pitch sites with Florida or relocation relevance
2,Relationship recovery,Restaurants and activities already mentioned in guides,Internal list needed,Email,/guides/things-to-do-bradenton-fl/,Convert existing recommendations into partner/resource links,Researching,Extract 5 named businesses from guides,Use only real existing mentions
3,Owner authority,STR and property-management blogs,Research list needed,Email,/property-management/,Pitch owner-side article tied to local market and management realities,Researching,Prepare owner-side pitch,Use answer-first owner hub and market-analysis proof
